"用例编号","应用端","模块","用例标题","前置条件","页面进入步骤","测试步骤","预期结果","优先级","测试结果","测试执行过程"
"TC–书架–001","移动端","书架","首次启动进入书架页并显示搜索框与导入按钮","App已安装","启动App","1.观察顶部栏区域","顶部栏存在搜索输入框（空时显示“按书名搜索”提示）与“导入”按钮。","P0","",""
"TC–书架–002","移动端","书架","空书架显示空态提示","未导入任何书籍（清除App数据或首次安装）","启动App进入书架页","1.观察书架内容区","内容区显示提示文案“暂无书籍，点击右上角“导入”添加 txt”。","P1","",""
"TC–书架–003","移动端","书架","导入UTF-8 txt成功后书架新增书籍卡片","准备本地文件：三体.txt（UTF-8编码，内容不少于2000字）","启动App进入书架页","1.点击“导入”。2.在系统文件选择器中选择三体.txt。3.返回App观察书架列表。","书架出现一本新书卡片，书名显示为“三体”，卡片封面为置灰占位块。","P0","",""
"TC–书架–004","移动端","书架","导入时取消选择不新增书籍","可打开系统文件选择器","启动App进入书架页","1.点击“导入”。2.在系统文件选择器中点击返回/取消。3.观察书架列表数量。","书架书籍数量不增加，未出现新书卡片。","P1","",""
"TC–书架–005","移动端","书架","书名搜索支持模糊匹配","已导入三体.txt与红楼梦.txt","进入书架页","1.在搜索框输入“三”。2.点击键盘搜索按钮。","书架仅展示书名包含“三”的书籍卡片（例如“三体”），不展示“红楼梦”。","P0","",""
"TC–书架–006","移动端","书架","搜索回车不换行","任意","进入书架页","1.点击搜索框。2.输入“a”。3.点击键盘回车/搜索。4.再次观察搜索框内容。","搜索框保持单行显示，内容不出现换行符。","P0","",""
"TC–书架–007","移动端","书架","搜索无匹配时书架不显示书籍","已导入至少1本书","进入书架页","1.在搜索框输入“不会匹配的关键字123”。2.点击键盘搜索。","书架网格列表为空（不显示任何书籍卡片）。","P1","",""
"TC–阅读–001","移动端","阅读","点击书籍卡片进入阅读页仅显示标题与正文","已导入三体.txt","书架页点击书名为“三体”的卡片","1.进入阅读页后观察界面元素。","阅读页顶部显示放大的书名标题；页面不显示返回按钮/翻页按钮/字体滑杆/背景色选择等控制面板。","P0","",""
"TC–阅读–002","移动端","阅读","点击正文唤起控制面板","已进入阅读页","书架页打开任意书籍进入阅读页","1.单击正文区域一次。","页面底部出现控制面板，包含“返回”“切换滚动/切换翻页”按钮、字体滑杆、背景色圆点。","P0","",""
"TC–阅读–003","移动端","阅读","再次点击正文隐藏控制面板","控制面板已显示","阅读页单击正文显示控制面板","1.再次单击正文区域一次。","控制面板从页面底部消失，仅保留标题与正文。","P1","",""
"TC–阅读–004","移动端","阅读","控制面板返回按钮退出阅读并返回书架","控制面板已显示","阅读页单击正文显示控制面板","1.点击控制面板“返回”。","退出阅读页回到书架页，书架仍可见并可继续操作。","P0","",""
"TC–阅读–005","移动端","阅读","翻页/滚动模式切换","控制面板已显示","阅读页单击正文显示控制面板","1.记录当前控制面板右侧按钮文案。2.点击“切换滚动/切换翻页”。3.观察正文呈现方式变化。","按钮文案在“切换滚动”和“切换翻页”之间切换；正文呈现方式在“翻页（页码+上一页/下一页）”与“滚动（可上下滑动）”之间切换。","P0","",""
"TC–阅读–006","移动端","阅读","字体大小滑杆下限为12sp且数值显示为12sp","控制面板已显示","阅读页单击正文显示控制面板","1.将字体滑杆拖到最左侧。2.观察滑杆右侧数值。","滑杆右侧显示“12sp”；正文显示字体变小。","P1","",""
"TC–阅读–007","移动端","阅读","字体大小滑杆上限为30sp且数值显示为30sp","控制面板已显示","阅读页单击正文显示控制面板","1.将字体滑杆拖到最右侧。2.观察滑杆右侧数值。","滑杆右侧显示“30sp”；正文显示字体变大。","P1","",""
"TC–阅读–008","移动端","阅读","背景色切换为深色时正文文字变为白色","控制面板已显示","阅读页单击正文显示控制面板","1.点击背景色圆点中最深色（黑色）色块。2.观察背景与正文文字颜色。","阅读页背景变为深色；正文文字颜色显示为白色，保证可读性。","P1","",""
"TC–阅读–009","移动端","阅读","翻页模式页码显示与翻页按钮可用性（首/末页边界）","已导入内容足够长的txt（至少3页）并处于翻页模式，控制面板已显示","书架打开长文本书籍进入阅读页并唤起控制面板","1.观察页码文本。2.在第一页观察“上一页”按钮状态。3.连续点击“下一页”直至末页。4.在末页观察“下一页”按钮状态。","页码显示为“当前页/总页数”；第一页“上一页”为不可点击状态；末页“下一页”为不可点击状态。","P0","",""
"TC–阅读–010","移动端","阅读","滚动模式不显示翻页按钮与页码条","滚动模式且控制面板已显示","阅读页点击控制面板切换到滚动模式并保持面板显示","1.观察控制面板底部是否存在“上一页/下一页”和“当前页/总页数”。","控制面板不显示翻页按钮与页码条。","P1","",""
"TC–阅读–011","移动端","阅读","导入空txt后打开阅读页提示空内容/编码不支持","准备本地文件：empty.txt（空文件）","书架页点击“导入”选择empty.txt后点击该书卡片","1.进入阅读页观察正文内容。","正文区域显示提示“文件内容为空或编码不支持。当前仅按 UTF-8 读取 txt。”","P2","",""
"TC–我的–001","移动端","我的","底部导航切换到我的页","App已启动","在底部导航点击“我的”","1.观察页面标题与内容区域。","页面展示账号卡片与阅读信息卡片；账号区域显示“当前未登录（不影响本地阅读）”。","P1","",""
"TC–我的–002","移动端","我的","模拟登录后展示账号信息","当前未登录","进入我的页","1.点击“模拟登录”。2.观察账号卡片内容。","账号卡片显示“昵称：测试用户”“账号状态：已登录”，并显示“退出登录”按钮。","P2","",""
"TC–我的–003","移动端","我的","退出登录不影响本地书架与阅读","已导入至少1本书且当前已登录","进入我的页","1.点击“退出登录”。2.切换到底部导航“书架”。3.打开任意书籍进入阅读页。","退出登录后书架书籍仍存在；可正常进入阅读页阅读正文。","P1","",""
"TC–我的–004","移动端","我的","阅读总时长在退出阅读后累计（>=60秒）","已导入至少1本书","书架打开任意书籍进入阅读页","1.在阅读页停留不少于65秒。2.唤起控制面板点击“返回”退出阅读。3.进入“我的”页查看阅读总时长。","“阅读总时长”数值较退出阅读前增加至少1分钟（显示为分钟单位）。","P2","",""
"TC–我的–005","移动端","我的","已读书籍数对同一本书重复阅读不重复计数","已导入三体.txt","书架打开三体.txt阅读后返回，再次打开三体.txt阅读后返回","1.第一次阅读后进入我的页记录“已读书籍数”。2.第二次阅读同一本书后再次进入我的页记录“已读书籍数”。","第二次阅读后“已读书籍数”不增加；“最近阅读”显示为“三体”。","P2","",""
